check,error,passed,kind
lora_fold_gradA[v_proj],2.0816681711721685e-17,True,real_activation_fp64
lora_fold_gradB[v_proj],2.949029909160572e-17,True,real_activation_fp64
lora_fold_sgd[v_proj],4.163336342344337e-17,True,real_activation_fp64
lora_fold_forward[o_proj],1.1102230246251565e-15,True,real_activation_fp64
lora_fold_gradA[o_proj],2.42861286636753e-17,True,real_activation_fp64
lora_fold_gradB[o_proj],1.0842021724855044e-17,True,real_activation_fp64
lora_fold_sgd[o_proj],4.163336342344337e-17,True,real_activation_fp64
lora_fold_forward[gate_proj],1.7763568394002505e-15,True,real_activation_fp64
lora_fold_gradA[gate_proj],8.604228440844963e-16,True,real_activation_fp64
lora_fold_gradB[gate_proj],3.469446951953614e-18,True,real_activation_fp64
lora_fold_sgd[gate_proj],9.71445146547012e-17,True,real_activation_fp64
lora_fold_forward[up_proj],1.2212453270876722e-15,True,real_activation_fp64
lora_fold_gradA[up_proj],3.252606517456513e-17,True,real_activation_fp64
lora_fold_gradB[up_proj],2.8189256484623115e-18,True,real_activation_fp64
lora_fold_sgd[up_proj],4.163336342344337e-17,True,real_activation_fp64
lora_fold_forward[down_proj],6.661338147750939e-16,True,real_activation_fp64
lora_fold_gradA[down_proj],3.0357660829594124e-18,True,real_activation_fp64
lora_fold_gradB[down_proj],3.2526065174565133e-18,True,real_activation_fp64
lora_fold_sgd[down_proj],4.163336342344337e-17,True,real_activation_fp64
rmsnorm_core_equivariance,3.552713678800501e-15,True,real_activation_fp64
rmsnorm_core_backward_equivariance,1.3322676295501878e-15,True,real_activation_fp64
swiglu_shared_perm,0.0,True,real_activation_fp64
swiglu_independent_perm_NEG,10.771991061494937,True,real_activation_neg
swiglu_dense_orth_NEG,5.793010384873233,True,real_activation_neg
rope_paired_qk_score_preserve,1.4921397450962104e-13,True,real_activation_fp64
rope_dense_commute_NEG,11.487978701828254,True,real_activation_neg
lora_fold_forward[q_proj],2.6645352591003757e-15,True,real_activation_fp64
lora_fold_gradA[q_proj],7.632783294297951e-17,True,real_activation_fp64
lora_fold_gradB[q_proj],2.6020852139652106e-17,True,real_activation_fp64
lora_fold_sgd[q_proj],5.551115123125783e-17,True,real_activation_fp64
lora_fold_forward[k_proj],1.7763568394002505e-15,True,real_activation_fp64
lora_fold_gradA[k_proj],8.326672684688674e-17,True,real_activation_fp64
lora_fold_gradB[k_proj],1.0408340855860843e-16,True,real_activation_fp64
lora_fold_sgd[k_proj],6.245004513516506e-17,True,real_activation_fp64
lora_fold_forward[v_proj],1.1102230246251565e-15,True,real_activation_fp64
lora_fold_gradA[v_proj],6.418476861114186e-17,True,real_activation_fp64
lora_fold_gradB[v_proj],6.245004513516506e-17,True,real_activation_fp64
lora_fold_sgd[v_proj],6.938893903907228e-17,True,real_activation_fp64
lora_fold_forward[o_proj],1.7763568394002505e-15,True,real_activation_fp64
lora_fold_gradA[o_proj],2.7755575615628914e-17,True,real_activation_fp64
lora_fold_gradB[o_proj],2.168404344971009e-17,True,real_activation_fp64
lora_fold_sgd[o_proj],5.551115123125783e-17,True,real_activation_fp64
lora_fold_forward[gate_proj],2.220446049250313e-15,True,real_activation_fp64
lora_fold_gradA[gate_proj],1.304512053934559e-15,True,real_activation_fp64
lora_fold_gradB[gate_proj],4.228388472693467e-18,True,real_activation_fp64
lora_fold_sgd[gate_proj],1.240327285323417e-16,True,real_activation_fp64
lora_fold_forward[up_proj],1.3322676295501878e-15,True,real_activation_fp64
lora_fold_gradA[up_proj],8.326672684688674e-17,True,real_activation_fp64
lora_fold_gradB[up_proj],3.903127820947816e-18,True,real_activation_fp64
lora_fold_sgd[up_proj],4.85722573273506e-17,True,real_activation_fp64
lora_fold_forward[down_proj],7.771561172376096e-16,True,real_activation_fp64
lora_fold_gradA[down_proj],3.469446951953614e-18,True,real_activation_fp64
lora_fold_gradB[down_proj],4.4994390158148434e-18,True,real_activation_fp64
lora_fold_sgd[down_proj],4.85722573273506e-17,True,real_activation_fp64
rmsnorm_core_equivariance,3.552713678800501e-15,True,real_activation_fp64
